date,traffic_source,search_engine,adv_engine,visits,users,avg_visit_duration_sec,bounce_rate,goal_conversion_rate
2025-07-16,Ad traffic,,Yandex: Direct,93.0,89.0,119.84946237,5.37634409,2.15053763
2025-05-14,Ad traffic,,Yandex: Direct,91.0,88.0,96.94505495,23.07692308,0.0
2025-07-14,Ad traffic,,Yandex: Direct,88.0,85.0,131.77272727,7.95454545,1.13636364
2025-07-08,Ad traffic,,Yandex: Direct,83.0,83.0,138.10843373,6.02409639,0.0
2025-07-23,Ad traffic,,Yandex: Direct,83.0,78.0,125.63855422,13.25301205,0.0
2025-07-17,Ad traffic,,Yandex: Direct,82.0,79.0,232.36585366,9.75609756,2.43902439
2025-08-06,Ad traffic,,Yandex: Direct,82.0,76.0,113.93902439,2.43902439,1.2195122
2025-08-11,Ad traffic,,Yandex: Direct,82.0,77.0,141.54878049,8.53658537,0.0
2025-07-31,Ad traffic,,Yandex: Direct,81.0,77.0,188.83950617,8.64197531,3.7037037
2025-04-15,Ad traffic,,Yandex: Direct,80.0,75.0,95.7375,13.75,1.25
2025-08-05,Ad traffic,,Yandex: Direct,80.0,76.0,150.9375,7.5,2.5
2025-04-14,Ad traffic,,Yandex: Direct,76.0,71.0,110.22368421,17.10526316,0.0
2025-04-10,Ad traffic,,Yandex: Direct,75.0,73.0,102.82666667,9.33333333,0.0
2025-07-09,Ad traffic,,Yandex: Direct,75.0,74.0,139.16,4.0,1.33333333
2025-07-21,Ad traffic,,Yandex: Direct,75.0,74.0,143.4,5.33333333,1.33333333
2025-08-13,Ad traffic,,Yandex: Direct,75.0,74.0,214.17333333,4.0,0.0
2025-08-19,Ad traffic,,Yandex: Direct,75.0,71.0,130.06666667,5.33333333,4.0
2026-04-16,Ad traffic,,Yandex: Direct,75.0,73.0,197.77333333,33.33333333,1.33333333
2025-07-30,Ad traffic,,Yandex: Direct,73.0,71.0,136.01369863,5.47945205,0.0
2025-08-01,Ad traffic,,Yandex: Direct,73.0,71.0,132.0,4.10958904,1.36986301
2025-05-19,Ad traffic,,Yandex: Direct,72.0,70.0,149.44444444,13.88888889,1.38888889
2025-07-15,Ad traffic,,Yandex: Direct,72.0,67.0,155.54166667,9.72222222,1.38888889
2025-07-22,Ad traffic,,Yandex: Direct,72.0,71.0,82.5,9.72222222,1.38888889
2025-07-29,Ad traffic,,Yandex: Direct,72.0,70.0,114.15277778,5.55555556,1.38888889
2025-08-07,Ad traffic,,Yandex: Direct,72.0,71.0,134.27777778,8.33333333,1.38888889
2025-04-16,Ad traffic,,Yandex: Direct,70.0,66.0,98.42857143,18.57142857,1.42857143
2025-04-17,Ad traffic,,Yandex: Direct,70.0,68.0,108.21428571,14.28571429,1.42857143
2025-04-28,Ad traffic,,Yandex: Direct,70.0,66.0,152.24285714,4.28571429,0.0
2025-05-03,Ad traffic,,Yandex: Direct,69.0,68.0,67.14492754,24.63768116,0.0
2025-06-30,Ad traffic,,Yandex: Direct,69.0,68.0,248.86956522,7.24637681,4.34782609
2025-07-07,Ad traffic,,Yandex: Direct,69.0,67.0,144.72463768,11.5942029,0.0
2025-07-18,Ad traffic,,Yandex: Direct,69.0,67.0,175.92753623,5.79710145,1.44927536
